,Timezone,Population
0,Africa/Abidjan,13671036
1,Africa/Accra,7287342
2,Africa/Addis_Ababa,10355643
3,Africa/Algiers,19055587
4,Africa/Asmara,764691
5,Africa/Bamako,2501890
6,Africa/Bangui,1399796
7,Africa/Banjul,736951
8,Africa/Bissau,517513
9,Africa/Blantyre,1932348
10,Africa/Brazzaville,2322134
11,Africa/Bujumbura,1331118
12,Africa/Cairo,40181834
13,Africa/Casablanca,16309505
14,Africa/Ceuta,86384
15,Africa/Conakry,4883323
16,Africa/Dakar,6078930
17,Africa/Dar_es_Salaam,14259179
18,Africa/Djibouti,749274
19,Africa/Douala,8684197
20,Africa/El_Aaiun,324432
21,Africa/Freetown,1913541
22,Africa/Gaborone,1062096
23,Africa/Harare,5038989
24,Africa/Johannesburg,35301267
25,Africa/Juba,1741152
26,Africa/Kampala,3710519
27,Africa/Khartoum,9089764
28,Africa/Kigali,1846189
29,Africa/Kinshasa,10009095
30,Africa/Lagos,62969486
31,Africa/Libreville,981677
32,Africa/Lome,1565638
33,Africa/Luanda,4740284
34,Africa/Lubumbashi,7215173
35,Africa/Lusaka,4214096
36,Africa/Malabo,447039
37,Africa/Maputo,6303348
38,Africa/Maseru,399137
39,Africa/Mbabane,276340
40,Africa/Mogadishu,5147566
41,Africa/Monrovia,1256173
42,Africa/Nairobi,10591806
43,Africa/Ndjamena,1680347
44,Africa/Niamey,2038086
45,Africa/Nouakchott,1402469
46,Africa/Ouagadougou,3872429
47,Africa/Porto-Novo,3022187
48,Africa/Sao_Tome,54456
49,Africa/Tripoli,5690273
50,Africa/Tunis,4899988
51,Africa/Windhoek,803788
52,America/Anchorage,577726
53,America/Anguilla,3251
54,America/Antigua,36301
55,America/Araguaina,530459
56,America/Argentina/Buenos_Aires,8302576
57,America/Argentina/Catamarca,669277
58,America/Argentina/Cordoba,9590800
59,America/Argentina/Jujuy,512182
60,America/Argentina/La_Rioja,257544
61,America/Argentina/Mendoza,315451
62,America/Argentina/Rio_Gallegos,211735
63,America/Argentina/Salta,2064501
64,America/Argentina/San_Juan,398488
65,America/Argentina/San_Luis,339412
66,America/Argentina/Tucuman,821907
67,America/Argentina/Ushuaia,112506
68,America/Aruba,103098
69,America/Asuncion,4020506
70,America/Atikokan,2753
71,America/Bahia,8288457
72,America/Bahia_Banderas,68423
73,America/Barbados,109103
74,America/Belem,4317451
75,America/Belize,213119
76,America/Blanc-Sablon,3961
77,America/Boa_Vista,419652
78,America/Bogota,39094770
79,America/Boise,868932
80,America/Cambridge_Bay,4497
81,America/Campo_Grande,1800971
82,America/Cancun,1228485
83,America/Caracas,29448995
84,America/Cayenne,189578
85,America/Cayman,63298
86,America/Chicago,72095812
87,America/Chihuahua,1756974
88,America/Ciudad_Juarez,1556316
89,America/Costa_Rica,1904374
90,America/Creston,5351
91,America/Cuiaba,1509685
92,America/Curacao,134795
93,America/Dawson,1375
94,America/Dawson_Creek,35998
95,America/Denver,11523519
96,America/Detroit,5861392
97,America/Dominica,43194
98,America/Edmonton,3157403
99,America/Eirunepe,41129
100,America/El_Salvador,2951847
101,America/Fort_Nelson,3366
102,America/Fortaleza,14403191
103,America/Glace_Bay,136356
104,America/Goose_Bay,14792
105,America/Grand_Turk,3720
106,America/Grenada,19251
107,America/Guadeloupe,362234
108,America/Guatemala,8557781
109,America/Guayaquil,11852937
110,America/Guyana,369776
111,America/Halifax,799897
112,America/Havana,10871562
113,America/Hermosillo,2685354
114,America/Indiana/Indianapolis,3448599
115,America/Indiana/Knox,8088
116,America/Indiana/Marengo,630
117,America/Indiana/Petersburg,2347
118,America/Indiana/Tell_City,8772
119,America/Indiana/Vevay,1679
120,America/Indiana/Vincennes,43561
121,America/Indiana/Winamac,2402
122,America/Inuvik,3243
123,America/Iqaluit,14930
124,America/Jamaica,2364707
125,America/Juneau,35717
126,America/Kentucky/Louisville,668490
127,America/Kentucky/Monticello,6090
128,America/Kralendijk,13138
129,America/La_Paz,7386780
130,America/Lima,22465464
131,America/Los_Angeles,51206816
132,America/Lower_Princes,23867
